Paragraph,Question,Answer
"This is such a lovely , peaceful place to eat outside . The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty . It is set far from the small street it 's on , and there is no traffic noise . The food is good , especially their more basic dishes , and the drinks are delicious . This is a great place to take out-of-towners , and perfect for watching the sunset .",how do you like their food ?,"good , especially their more basic dishes"
"This is such a lovely , peaceful place to eat outside . The restaurant looks out over beautiful green lawns to the Hudson River and the Statue of Liberty . It is set far from the small street it 's on , and there is no traffic noise . The food is good , especially their more basic dishes , and the drinks are delicious . This is a great place to take out-of-towners , and perfect for watching the sunset .",how about their drink ?,delicious
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great . The menu is very limited - i think we counted 4 or 5 entrees . We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse . Problem is nothing at Prune is particularly memorable . No plans to return anytime soon .",how is their lemon salad ?,so much pepper on it that our eyes started watering
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great . The menu is very limited - i think we counted 4 or 5 entrees . We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse . Problem is nothing at Prune is particularly memorable . No plans to return anytime soon .",do you like their food in general ?,"decent , not great"
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great . The menu is very limited - i think we counted 4 or 5 entrees . We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse . Problem is nothing at Prune is particularly memorable . No plans to return anytime soon .",how is the grilled branzino ?,"infused with bone , it was difficult to eat"
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great . The menu is very limited - i think we counted 4 or 5 entrees . We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse . Problem is nothing at Prune is particularly memorable . No plans to return anytime soon .",how is their decor ?,"very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse"
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great . The menu is very limited - i think we counted 4 or 5 entrees . We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat . The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse . Problem is nothing at Prune is particularly memorable . No plans to return anytime soon .",will you come back later ?,No plans
"honestly the worst sushi my husband and i had in our entire lives . believe us , we 've been eating sushi for over 15 yrs . not sure why this restaurant would be rated that highly . the all-u-can-eat sushi is definitely in very poor quality . limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice . the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . the waitstaffs are nice though . wont come back again for sure !",do they have all-u-can-eat sushi ?,all-u-can-eat
"honestly the worst sushi my husband and i had in our entire lives . believe us , we 've been eating sushi for over 15 yrs . not sure why this restaurant would be rated that highly . the all-u-can-eat sushi is definitely in very poor quality . limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice . the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . the waitstaffs are nice though . wont come back again for sure !",are ingredients fresh ?,no-so-fresh
"honestly the worst sushi my husband and i had in our entire lives . believe us , we 've been eating sushi for over 15 yrs . not sure why this restaurant would be rated that highly . the all-u-can-eat sushi is definitely in very poor quality . limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice . the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . the waitstaffs are nice though . wont come back again for sure !",how is the portion of fish ?,thinly-sliced
"honestly the worst sushi my husband and i had in our entire lives . believe us , we 've been eating sushi for over 15 yrs . not sure why this restaurant would be rated that highly . the all-u-can-eat sushi is definitely in very poor quality . limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice . the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . the waitstaffs are nice though . wont come back again for sure !",how are the waitstaffs ?,nice
"honestly the worst sushi my husband and i had in our entire lives . believe us , we 've been eating sushi for over 15 yrs . not sure why this restaurant would be rated that highly . the all-u-can-eat sushi is definitely in very poor quality . limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice . the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish . the waitstaffs are nice though . wont come back again for sure !",will you come back again ?,wont
"We went here for lunch a couple of weeks ago on a Saturday , and I was thoroughly impressed with the food . The pesto pizza was excellent , thin-crust pizza with a nice amount of spicy Italian cheese that I 'd never heard of before . Conveniently located too , being right on Bedford ave . THe back garden sitting area is very pleasant , where you can see their personal herb garden . I will definetly be going back .",what 's your impression about their food ?,thoroughly impressed
"We went here for lunch a couple of weeks ago on a Saturday , and I was thoroughly impressed with the food . The pesto pizza was excellent , thin-crust pizza with a nice amount of spicy Italian cheese that I 'd never heard of before . Conveniently located too , being right on Bedford ave . THe back garden sitting area is very pleasant , where you can see their personal herb garden . I will definetly be going back .",do they have pesto pizza ?,pesto pizza
"We went here for lunch a couple of weeks ago on a Saturday , and I was thoroughly impressed with the food . The pesto pizza was excellent , thin-crust pizza with a nice amount of spicy Italian cheese that I 'd never heard of before . Conveniently located too , being right on Bedford ave . THe back garden sitting area is very pleasant , where you can see their personal herb garden . I will definetly be going back .",how is the pesto pizza ?,"excellent , thin-crust pizza with a nice amount of spicy Italian cheese"
"We have tried every Thai restaurant between Atlantic Avenue and 4th Streets , and Joya is the best . The freshest , best variety , and the fastest delivery . Also very inexpensive . A great choice at any cost and a great deal .",how 's the speed of delivery ?,fastest
"This is the perfect spot for meeting friends , having lunch , dinner , pre-theatre or after-theatre drinks ! ( Always ask the bartender for the SEASONAL beer ! ! ! Guaranteed to be a tasty experience ! ) Excellent spot for holiday get togethers with co-workers or friends that you have n't seen in a while . I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED ! All the people that I bring there go back on their own and bring THEIR friends ! Go there once and oh yes ... you will go back ... you will ...",is this a good place to meet a friend ?,perfect
LLOOVVE THIS PLACE . Food is excellent . Fish is so very fresh . Waitstaff are very friendly . Love YUKA .,"Then, how about their food ?",excellent
LLOOVVE THIS PLACE . Food is excellent . Fish is so very fresh . Waitstaff are very friendly . Love YUKA .,how is the fish there ?,so very fresh
"Had a late night dinner on a Saturday night . Great vibe , lots of people . My husband and I both ordered the Steak , medium . My husbands was perfect , my was well done and dry . I did n't complain , I liked the atmosphere so much . Will give it another chance before I write it off .",how is their vibe ?,Great
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! You ca n't go wrong here .",how is their service ?,devine
"Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! Service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! ! You ca n't go wrong here .",is it cheap ?,ca n't be beat
My wife and I ate here earlier this week and have not stopped ranting and raving about the food . If you like spicy food get the chicken vindaloo . It 's very spicy but not offensive . We will definitely go back .,any recommended spicy food ?,chicken vindaloo
My wife and I ate here earlier this week and have not stopped ranting and raving about the food . If you like spicy food get the chicken vindaloo . It 's very spicy but not offensive . We will definitely go back .,how is the chicken vindaloo ?,very spicy but not offensive
My wife and I ate here earlier this week and have not stopped ranting and raving about the food . If you like spicy food get the chicken vindaloo . It 's very spicy but not offensive . We will definitely go back .,will you come back again ?,definitely
"This place would be so much better served by being run by a group that actually understands customer service . The only thing you can do here is walk in and eat .. but planning an event , especially a small , intimate one , forget about it . They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile ! Nobody at this restaurant will give firm answers about anything and in the end , not one person takes responsibility for anything . Terrible , terrible management - deserves to be shut-down .",how is their management ?,"Terrible , terrible"
"Molto bene ! This quaint and romantic trattoria is at the top of my Manhattan restaurant list . The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment . Whether it 's the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to Northern Italy with one bite . Although the tables may be closely situated , the candle-light , food-quality and service overcompensate . A guaranteeed delight !",how is the lamb glazed with balsamic vinegar ?,never a disappointment
"Compared to Ess-a , Tal offers a less doughy bagel ! They even scoop it out nice ( for those on a diet ) not too much not to little . The cream cheeses are out of this world and I love that coffee ! ! A little crowded but they move that line really fast ! A little pricey but it really hits the spot on a Sunday morning !",do you like their coffee ?,love
"Compared to Ess-a , Tal offers a less doughy bagel ! They even scoop it out nice ( for those on a diet ) not too much not to little . The cream cheeses are out of this world and I love that coffee ! ! A little crowded but they move that line really fast ! A little pricey but it really hits the spot on a Sunday morning !",what do you think of the price ?,A little pricey
"More Williamsburg Garbage My wife and I visited Dokebi tonight . We ordered dosut bibimbap and nakgi-bokum . The dishes came out around 5 minutes apart . The bibimbap was average , but the stone bowl was n't even close to sizzling . Too bad I had paid an extra $ 2 for the stone bowl . The nakgi-bokum was horrible . Easily the worst stir-fried squid I 've ever tasted . The sauce tasted more like Chinese fast food than decent Korean . The side dishes were passable , and I did get a refill upon request . The real problem I had with this place was the complete lack of service . I mentioned the squid dish was n't very good when the waitress visited . She just nodded and walked off . There were no communications issues either , as she spoke perfect English . As to my comment about the food , no apology or acknowledgment was made . My wife had barely touched that mess of a dish . We were charged full price . If you ware looking for Korean fusion , I suggest you try some of the places in the East Village . Authentic Korean food lovers should visit 32nd Street , of course .",how much to have a stone bowl there ?,$ 2
"More Williamsburg Garbage My wife and I visited Dokebi tonight . We ordered dosut bibimbap and nakgi-bokum . The dishes came out around 5 minutes apart . The bibimbap was average , but the stone bowl was n't even close to sizzling . Too bad I had paid an extra $ 2 for the stone bowl . The nakgi-bokum was horrible . Easily the worst stir-fried squid I 've ever tasted . The sauce tasted more like Chinese fast food than decent Korean . The side dishes were passable , and I did get a refill upon request . The real problem I had with this place was the complete lack of service . I mentioned the squid dish was n't very good when the waitress visited . She just nodded and walked off . There were no communications issues either , as she spoke perfect English . As to my comment about the food , no apology or acknowledgment was made . My wife had barely touched that mess of a dish . We were charged full price . If you ware looking for Korean fusion , I suggest you try some of the places in the East Village . Authentic Korean food lovers should visit 32nd Street , of course .",how is their service ?,complete lack
"I love Ess-a-bagel , but I live on the west side , so I often go to Murray 's for convenience . Their bagels are fine , but they are a little overcooked , and not really a 'special ' bagel experience . Better than the bagel shop on the corner , but not worth going out of your way for , in my opinion . Also a little more expensive than your average bagel place .",do you like their bagel ?,"fine , but they are a little overcooked , and not really a 'special ' bagel experience"
This tiny Williamsburg spot is always pleasantly surprising . The pizza is delicious and the proprietor is one of the nicest in NYC . Even the pasta is delicious here ( a rarity in New York pizza restaurants ) . I 've been many time and have never been disappointed .,do you like their pizza ?,delicious
"My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian . Too bad the food was n't of the same heritage . The porcini mushroom pasta special was tasteless , so was the seafood tagliatelle . A real dissapointment . But that was n't the icing on the cake : a tiramisu that resembled nothing I have ever had . They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies . Priced at upper intermediate range .",what 's their price range ?,upper intermediate
"Been there , done that , and New York , it 's not that big a deal . The food is decent at best , and the ambience , well , it 's a matter of opinion , some may consider it to be a sweet thing , I thought it was just annoying . If celebrities make you sweat , then your in for a ride , but if your like most around these parts then you 'll just yawn and wonder whats with all the hype . Rao is a good restaurant , but it 's nothing special .",like their food ?,decent at best
"Been there , done that , and New York , it 's not that big a deal . The food is decent at best , and the ambience , well , it 's a matter of opinion , some may consider it to be a sweet thing , I thought it was just annoying . If celebrities make you sweat , then your in for a ride , but if your like most around these parts then you 'll just yawn and wonder whats with all the hype . Rao is a good restaurant , but it 's nothing special .",how is the ambiance there ?,"it 's a matter of opinion , some may consider it to be a sweet thing , I thought it was just annoying"
"Lucky Strike is a great casual place to just grab a bite to eat . Yeah the crowd can take it a bit seriously , but it should n't . Great food , great decor , great service . I recommend it ! Just ignore the trendy wannabes .",how would you rate their food ?,Great
"Lucky Strike is a great casual place to just grab a bite to eat . Yeah the crowd can take it a bit seriously , but it should n't . Great food , great decor , great service . I recommend it ! Just ignore the trendy wannabes .","Then, how about their service ? is it good too ?",great
"Do n't be fooled by crowds of people . The service is awful . This place is not worth the prices . Also , do n't plan on asking for your favorite roll , if it 's not on the menu , you ca n't have it .",do you like their service ?,awful
"I have NEVER been disappointed in the Red Eye . The first time I went , and was completely taken by the live jazz band and atmosphere , I ordered the Lobster Cobb Salad . I 've never ordered anything else from their menu ... there 's no need to . It 's simply the best meal in NYC . You can not go wrong at the Red Eye Grill .",what 's the best dish on their menu ?,Lobster Cobb Salad
"I have NEVER been disappointed in the Red Eye . The first time I went , and was completely taken by the live jazz band and atmosphere , I ordered the Lobster Cobb Salad . I 've never ordered anything else from their menu ... there 's no need to . It 's simply the best meal in NYC . You can not go wrong at the Red Eye Grill .",how is the lobster cobb salad ?,best meal in NYC
"The atmosphere is nothing special , but it feels like a Sushi establishment in Tokyo . The owner and staff are all Japanese as well and that adds to the entire ambiance . Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art . I must give it Yon out of Yon stars ! Taxan delicious ! Arigato Gozimas Yuka !",how is their atmosphere ?,nothing special
"Raymond the bartender rocks ! Pacifico is a great place to casually hang out . The drinks are great , especially when made by Raymond . The omlette for brunch is great ... the spinach is fresh , definately not frozen ... quacamole at pacifico is yummy , as are the wings with chimmichuri . A weakness is the chicken in the salads . It 's just average , just shredded , no seasoning on it . Also , I personally was n't a fan of the portobello and asparagus mole . Overall , decent food at a good price , with friendly people .",is the spinach fresh ?,fresh
"Raymond the bartender rocks ! Pacifico is a great place to casually hang out . The drinks are great , especially when made by Raymond . The omlette for brunch is great ... the spinach is fresh , definately not frozen ... quacamole at pacifico is yummy , as are the wings with chimmichuri . A weakness is the chicken in the salads . It 's just average , just shredded , no seasoning on it . Also , I personally was n't a fan of the portobello and asparagus mole . Overall , decent food at a good price , with friendly people .",how is the food overall ?,decent
This place is so much fun . Our family never expected such incredible entertainment in a restaurant . This place must have cost the owners afortune to build . I think the stuff was better than Disney . Our food was great too ! And really large portions . The staff was the friendliest that have seen in New York . We will go back every time we are in the City .,do you like their food ?,great
This place is so much fun . Our family never expected such incredible entertainment in a restaurant . This place must have cost the owners afortune to build . I think the stuff was better than Disney . Our food was great too ! And really large portions . The staff was the friendliest that have seen in New York . We will go back every time we are in the City .,are portions large enough ?,really large
This place is so much fun . Our family never expected such incredible entertainment in a restaurant . This place must have cost the owners afortune to build . I think the stuff was better than Disney . Our food was great too ! And really large portions . The staff was the friendliest that have seen in New York . We will go back every time we are in the City .,how is their staff ?,friendliest that have seen in New York
This place is so much fun . Our family never expected such incredible entertainment in a restaurant . This place must have cost the owners afortune to build . I think the stuff was better than Disney . Our food was great too ! And really large portions . The staff was the friendliest that have seen in New York . We will go back every time we are in the City .,will you come back again ?,will
I come here enjoy very much with husband . Remind me of home . Great survice,how is their service ?,Great
I ca n't believe people complain about no cheese sticks ? Who has room for Cheesesticks with the best pizza in NYC ! Get the pepperoni - YUM - and a family style salad . Great staff . Always great service ! I go twice a month ! Fantastic !,how is the pizza ?,best pizza in NYC
I ca n't believe people complain about no cheese sticks ? Who has room for Cheesesticks with the best pizza in NYC ! Get the pepperoni - YUM - and a family style salad . Great staff . Always great service ! I go twice a month ! Fantastic !,do you like their service ?,Great staff . Always great
"Terrible would be a compliment ! The service leaves much to be desired , from feeling like you are rushed the place your order , to being ignored the rest of the night . We were 10 people celebrtating a birthday , we sat in the tent . We paid a fixed pricce but got nothing ! ! We never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating . They are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread ! Stay away",do you recommend this place ?,Stay away
"This is the kind of place you 'd like to take all your friends to and still keep a secret . The setting is casual and romantic . Prices are very good . The food is excellent ! if you 're daring , try the balsamic vinegar over icecream , it 's wonderful !",is their price reasonable ?,very good
"This is the kind of place you 'd like to take all your friends to and still keep a secret . The setting is casual and romantic . Prices are very good . The food is excellent ! if you 're daring , try the balsamic vinegar over icecream , it 's wonderful !",how is their food ?,excellent
"Dumbfoundingly Poor This was , from start to finish , a mind-bogglingly uncomfortable experience . Lexicographers take note : a new and fascinating definition of rudeness is alive and flourishing right here in Brooklyn . The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention . Polite acknowledgement is out ; supercilious scorn is in . And how many times can you pick up the same perfectly aligned set of napkins , inspect them vapidly and plonk them down in exactly the same place instead of venturing a glance at people who are there to help you make the rent ? A different server enhanced the fun , dumping our entrees in front of us halfway through our appetizer ( which was delicious ) . Overall the food quality was pretty good , though I hear the salmon is much better when it has n't sat cooling in front of the guest . The place has a nice fit-out , some attractive furnishings and , from what I could tell , a reasonable wine list ( I was given the food menu when I asked for the carte des vins ) At $ 120 for two people , however , this in no way represents value , unless you 're looking to pay by the hour for passive-aggressive torture . On that scale , it 's a world-beater .",how is the food quality overall ?,pretty good
"As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city . The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she's-way-cuter-than-me-that-b @ # $ * way ) . The food is yummy , especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries . But the best part about LS is the late night atmosphere , delightfully free of the BTs . You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music . The in-house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests . You ca n't go wrong with this place .",what do you think of their food in general ?,yummy
"As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city . The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she's-way-cuter-than-me-that-b @ # $ * way ) . The food is yummy , especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries . But the best part about LS is the late night atmosphere , delightfully free of the BTs . You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music . The in-house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests . You ca n't go wrong with this place .",how much for a glass of martini ?,$ 8.50
"As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city . The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she's-way-cuter-than-me-that-b @ # $ * way ) . The food is yummy , especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries . But the best part about LS is the late night atmosphere , delightfully free of the BTs . You can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( I recommend the Vanilla Shanty , mmmm ! ) in a great homey setting with great music . The in-house lady DJ on Saturday nights has outrageously good taste in music , and moreover , takes requests . You ca n't go wrong with this place .",any recommended martini ?,Vanilla Shanty
"Have frequented 'ino for several years and the food remains excellent . Cheese plate is a varied delight and great bargain at $ 10 . The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating . ( The asparagus , truffle oil , parmesan bruschetta is a winner ! ) Wine list is extensive without being over-priced . Be sure to try the seasonal , and always delicious , specials . Definitely a neighborhood favorite .",do you like their food ?,excellent
"Have frequented 'ino for several years and the food remains excellent . Cheese plate is a varied delight and great bargain at $ 10 . The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating . ( The asparagus , truffle oil , parmesan bruschetta is a winner ! ) Wine list is extensive without being over-priced . Be sure to try the seasonal , and always delicious , specials . Definitely a neighborhood favorite .",how much for the cheese plate ?,$ 10
"Have frequented 'ino for several years and the food remains excellent . Cheese plate is a varied delight and great bargain at $ 10 . The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating . ( The asparagus , truffle oil , parmesan bruschetta is a winner ! ) Wine list is extensive without being over-priced . Be sure to try the seasonal , and always delicious , specials . Definitely a neighborhood favorite .",how is their wine selection ?,extensive
"Awesome Inexpensive , unassuming , great time !",how is their price ?,Inexpensive
"Visited there while on vacation and reading the reviews . On a hot day it was fabulous to stop in and enjoy lunch . Ambience is so cute and quaint , good for business although we were there on vacation . Salads were fantastic . Although we were looking for regular lettuce and some walnuts the salads we got were great . Ingredients are organic which is a real plus for me . We will be back .",do you like their salads ?,fantastic
"Visited there while on vacation and reading the reviews . On a hot day it was fabulous to stop in and enjoy lunch . Ambience is so cute and quaint , good for business although we were there on vacation . Salads were fantastic . Although we were looking for regular lettuce and some walnuts the salads we got were great . Ingredients are organic which is a real plus for me . We will be back .",how is their salad ?,great
"Visited there while on vacation and reading the reviews . On a hot day it was fabulous to stop in and enjoy lunch . Ambience is so cute and quaint , good for business although we were there on vacation . Salads were fantastic . Although we were looking for regular lettuce and some walnuts the salads we got were great . Ingredients are organic which is a real plus for me . We will be back .",is their ingredient organic ?,organic
"Seriously , this place kicks ass . The atmosphere is unheralded , the service impecible , and the food magnificant . Best Italian food I ever had ( and being Italian , that means alot ) . It is nearly impossible to get a table , so if you ever have the chance to go here for dinner , DO NOT pass it up .",how is their service ?,impecible
"Seriously , this place kicks ass . The atmosphere is unheralded , the service impecible , and the food magnificant . Best Italian food I ever had ( and being Italian , that means alot ) . It is nearly impossible to get a table , so if you ever have the chance to go here for dinner , DO NOT pass it up .",is this place busy ?,nearly impossible to get a table
"This is an amazing place to try some roti rolls . I really recommend the very simple Unda ( Egg ) rolls . Delicate spices , onions , eggs and a kick-ass roti . Amazing !",any recommended dish here ?,Unda ( Egg ) rolls
"This is an amazing place to try some roti rolls . I really recommend the very simple Unda ( Egg ) rolls . Delicate spices , onions , eggs and a kick-ass roti . Amazing !",why the unda egg rolls are good ?,"Delicate spices , onions , eggs and a kick-ass roti"
"After hearing a lot of great things about the restaurant , and passing by it on a daily basis , we decided to try . We were less than impressed . While the ambiance and atmosphere were great , the food and service could have been a lot better . We ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone . Probably would not go again ...",how is their service ?,could have been a lot better
"After hearing a lot of great things about the restaurant , and passing by it on a daily basis , we decided to try . We were less than impressed . While the ambiance and atmosphere were great , the food and service could have been a lot better . We ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone . Probably would not go again ...",do they have chicken casserole ?,chicken casserole
"After hearing a lot of great things about the restaurant , and passing by it on a daily basis , we decided to try . We were less than impressed . While the ambiance and atmosphere were great , the food and service could have been a lot better . We ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone . Probably would not go again ...",will you come back again to this place ?,Probably would not go
I was there on sat . for my birthday and we had an excellent time . I had the best ravioli ever . The wine the service was very good too . Moderate prices . A little noise but I think that was because of our party !,do you like their service ?,very good
I was there on sat . for my birthday and we had an excellent time . I had the best ravioli ever . The wine the service was very good too . Moderate prices . A little noise but I think that was because of our party !,what do you think of the price ?,Moderate
"My roommate and I LOVE this place . We recently decided to try this location , and to our delight , they have outdoor seating , perfect since I had my yorkie with me . Indoor was very cozy and cute . The portion sizes here are huge , and the sushi is good . While it 's not Nobu , it sure is a great deal and you definitely will leave feeling satisfied and full . Staff is very accomodating .",how is the portion ?,huge
"My roommate and I LOVE this place . We recently decided to try this location , and to our delight , they have outdoor seating , perfect since I had my yorkie with me . Indoor was very cozy and cute . The portion sizes here are huge , and the sushi is good . While it 's not Nobu , it sure is a great deal and you definitely will leave feeling satisfied and full . Staff is very accomodating .",do you like their sushi ?,good
"i 've been to sapphire twice and both times the food was fine , if not good . stick with the chicken , beef , and lamb dishes . i do n't usually order wine with indian so i ca n't comment on their wine list or their wines . instead ordered an ice cold beer which to me works with indian . service is friendly , and never had a problem walking in and getting a table . i would recommend reservations on weekends though . skip dessert .",do they have lamb ?,lamb
"i 've been to sapphire twice and both times the food was fine , if not good . stick with the chicken , beef , and lamb dishes . i do n't usually order wine with indian so i ca n't comment on their wine list or their wines . instead ordered an ice cold beer which to me works with indian . service is friendly , and never had a problem walking in and getting a table . i would recommend reservations on weekends though . skip dessert .",how is their service ?,"friendly , and never had a problem walking in and getting a table"
I grew up on these bagels . The staff is no nonsense . The food options rule . When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else . Worth visiting the 1st Ave spot because it is the original store .,where is its original store ?,1st Ave spot
"sometimes i get good food and ok service . sometimes i get bad food and bad service , sometimes i get good good and bad service . it is not consistent . really depends on your luck !",is their service consistently good ?,not
"I went there for lunch and it was not as good as I expected from the reviews I read . Sauce was watery and the food did n't have much flavor . If you like the food and the value you get from some of Chinatown restaurants , this is not the place for you . I do n't think I would go again .",how is their food ?,n't have much flavor
"I went there for lunch and it was not as good as I expected from the reviews I read . Sauce was watery and the food did n't have much flavor . If you like the food and the value you get from some of Chinatown restaurants , this is not the place for you . I do n't think I would go again .",will you come back again ?,n't
"Lives up to the hype We 've lived around the corner from this place for over a year and finally had dinner there . We 've tried before but it always packed and does n't take reservations . It was well worth the wait . The wife had the risotto which was amazing . It does n't look appetizing as it 's covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal . The farro salad and the mashed yukon potatoes were also extremely tasty .",is it worth the waiting ?,well worth
"Lives up to the hype We 've lived around the corner from this place for over a year and finally had dinner there . We 've tried before but it always packed and does n't take reservations . It was well worth the wait . The wife had the risotto which was amazing . It does n't look appetizing as it 's covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal . The farro salad and the mashed yukon potatoes were also extremely tasty .",how is the taste of risotto ?,phenomenal
"Lives up to the hype We 've lived around the corner from this place for over a year and finally had dinner there . We 've tried before but it always packed and does n't take reservations . It was well worth the wait . The wife had the risotto which was amazing . It does n't look appetizing as it 's covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal . The farro salad and the mashed yukon potatoes were also extremely tasty .",do they have salad ?,farro salad
"Lives up to the hype We 've lived around the corner from this place for over a year and finally had dinner there . We 've tried before but it always packed and does n't take reservations . It was well worth the wait . The wife had the risotto which was amazing . It does n't look appetizing as it 's covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal . The farro salad and the mashed yukon potatoes were also extremely tasty .",do they have mashed potatoes ?,mashed yukon potatoes
"Lives up to the hype We 've lived around the corner from this place for over a year and finally had dinner there . We 've tried before but it always packed and does n't take reservations . It was well worth the wait . The wife had the risotto which was amazing . It does n't look appetizing as it 's covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal . The farro salad and the mashed yukon potatoes were also extremely tasty .",how is the farro salad ?,extremely tasty
"Cozy romantic atomosphere with only around 15 tables at most . Service was very prompt but slightly rushed . Food was very good , but not what I would consider out of this world . Go here for a romantic dinner but not for an all out wow dining experience .",how is the atmosphere ?,Cozy romantic
"Cozy romantic atomosphere with only around 15 tables at most . Service was very prompt but slightly rushed . Food was very good , but not what I would consider out of this world . Go here for a romantic dinner but not for an all out wow dining experience .","Okay, how about their service ?",very prompt but slightly rushed
"Cozy romantic atomosphere with only around 15 tables at most . Service was very prompt but slightly rushed . Food was very good , but not what I would consider out of this world . Go here for a romantic dinner but not for an all out wow dining experience .",how is the food ?,very good
"The place is a lot of fun . My six year old loved it . The characters really make for an enjoyable experience . The food however , is what one might expect . It is very overpriced and not very tasty . However , I think Jeckll and Hydes t is one of those places that is fun to do once . We had a good time .",how is their food ?,very overpriced and not very tasty
